bandeja;tratamento;sucesso;fracasso;odds;numerototal
1;ext5.0;0;15;0;15
1;ext2.5;1;14;0.071428571;15
1;peg;0;15;0;15
1;agua;0;15;0;15
2;ext5.0;0;15;0;15
2;ext2.5;0;15;0;15
2;peg;0;15;0;15
2;agua;0;15;0;15
3;ext5.0;0;15;0;15
3;ext2.5;0;15;0;15
3;peg;0;15;0;15
3;agua;0;15;0;15
4;ext5.0;1;14;0.071428571;15
4;ext2.5;2;13;0.153846154;15
4;peg;0;15;0;15
4;agua;0;15;0;15
5;ext5.0;0;15;0;15
5;ext2.5;0;15;0;15
5;peg;0;15;0;15
5;agua;0;15;0;15
6;ext5.0;0;15;0;15
6;ext2.5;0;15;0;15
6;peg;0;15;0;15
6;agua;1;14;0.071428571;15
7;ext5.0;1;14;0.071428571;15
7;ext2.5;1;14;0.071428571;15
7;peg;0;15;0;15
7;agua;0;15;0;15
8;ext5.0;0;15;0;15
8;ext2.5;0;15;0;15
8;peg;1;14;0.071428571;15
8;agua;0;15;0;15
9;ext5.0;0;15;0;15
9;ext2.5;0;15;0;15
9;peg;0;15;0;15
9;agua;0;15;0;15
10;ext5.0;1;14;0.071428571;15
10;ext2.5;0;15;0;15
10;peg;0;15;0;15
10;agua;0;15;0;15
