bandeja;tratamento;sucesso;fracasso
1;trat50;0;15
1;trat25;0;15
1;peg;0;15
1;agua;1;14
2;trat50;0;15
2;trat25;0;15
2;peg;0;15
2;agua;1;14
3;trat50;1;14
3;trat25;2;13
3;peg;0;15
3;agua;2;13
4;trat50;1;14
4;trat25;0;15
4;peg;1;14
4;agua;1;14
5;trat50;0;15
5;trat25;1;14
5;peg;1;14
5;agua;0;15
6;trat50;0;15
6;trat25;0;15
6;peg;0;15
6;agua;0;15
7;trat50;0;15
7;trat25;0;15
7;peg;0;15
7;agua;0;15
8;trat50;0;15
8;trat25;0;15
8;peg;0;15
8;agua;0;15
9;trat50;0;15
9;trat25;0;15
9;peg;0;15
9;agua;1;14
10;trat50;0;15
10;trat25;0;15
10;peg;0;15
10;agua;2;13
