Bandeja;Tratamento;Sucesso;Fracasso;Numerototal
1;trat50;5;10;15
1;trat25;5;10;15
1;peg;1;14;15
1;agua;4;11;15
2;trat50;4;11;15
2;trat25;3;12;15
2;peg;0;15;15
2;agua;9;6;15
3;trat50;2;13;15
3;trat25;6;9;15
3;peg;1;14;15
3;agua;3;12;15
4;trat50;2;13;15
4;trat25;6;9;15
4;peg;0;15;15
4;agua;7;8;15
5;trat50;3;12;15
5;trat25;1;14;15
5;peg;1;14;15
5;agua;3;12;15
6;trat50;1;14;15
6;trat25;3;12;15
6;peg;0;15;15
6;agua;1;14;15
7;trat50;3;12;15
7;trat25;3;12;15
7;peg;0;15;15
7;agua;1;14;15
8;trat50;0;15;15
8;trat25;0;15;15
8;peg;0;15;15
8;agua;0;15;15
9;trat50;0;15;15
9;trat25;2;13;15
9;peg;0;15;15
9;agua;3;12;15
10;trat50;3;12;15
10;trat25;4;11;15
10;peg;1;14;15
10;agua;3;12;15
