especie;bandeja;npeg;ntrat25;sucesso_peg;sucesso_trat25;fracasso_peg;fracasso_trat25
schinus;sc1;15;15;1;5;14;10
schinus;sc2;15;15;0;3;15;12
schinus;sc3;15;15;1;6;14;9
schinus;sc4;15;15;0;6;15;9
schinus;sc5;15;15;1;1;14;14
schinus;sc6;15;15;0;3;15;12
schinus;sc7;15;15;0;3;15;12
schinus;sc8;15;15;0;0;15;15
schinus;sc9;15;15;0;2;15;13
schinus;sc10;15;15;1;4;14;11
citharexylum;ci1;15;15;0;1;15;14
citharexylum;ci2;15;15;0;0;15;15
citharexylum;ci3;15;15;0;0;15;15
citharexylum;ci4;15;15;0;2;15;13
citharexylum;ci5;15;15;0;0;15;15
citharexylum;ci6;15;15;0;0;15;15
citharexylum;ci7;15;15;0;1;15;14
citharexylum;ci8;15;15;1;0;14;15
citharexylum;ci9;15;15;0;0;15;15
citharexylum;ci10;15;15;0;0;15;15
lithraea;li1;15;15;0;0;15;15
lithraea;li2;15;15;0;0;15;15
lithraea;li3;15;15;0;2;15;13
lithraea;li4;15;15;1;0;14;15
lithraea;li5;15;15;1;1;14;14
lithraea;li6;15;15;0;0;15;15
lithraea;li7;15;15;0;0;15;15
lithraea;li8;15;15;0;0;15;15
lithraea;li9;15;15;0;0;15;15
lithraea;li10;15;15;0;0;15;15
