placa;tamanho;tratamento
1;46.02;agua
1;45.22;agua
1;37.16;agua
1;51.56;agua
1;64.12;agua
1;55.63;agua
1;47.55;agua
1;54.32;agua
1;40.84;agua
1;37.73;agua
1;49.05;peg
1;51.62;peg
1;48.04;peg
1;54.83;peg
1;43.12;peg
1;24.37;peg
1;34.47;peg
1;48.15;peg
1;35.36;peg
1;30.21;peg
1;41.6;ext2.5
1;39.15;ext2.5
1;34.5;ext2.5
1;40.52;ext2.5
1;42.55;ext2.5
1;32.07;ext2.5
1;37.39;ext2.5
1;40.84;ext2.5
1;31.3;ext2.5
1;36.4;ext2.5
1;40.61;ext5.0
1;48.51;ext5.0
1;45.58;ext5.0
1;48.75;ext5.0
1;45.84;ext5.0
1;43.08;ext5.0
1;50.9;ext5.0
1;45.03;ext5.0
1;9.9;ext5.0
1;47.82;ext5.0
2;66.02;agua
2;55.28;agua
2;54.49;agua
2;72.82;agua
2;73.95;agua
2;70.45;agua
2;65.27;agua
2;65.28;agua
2;47.27;agua
2;58.15;agua
2;65.3;peg
2;60.88;peg
2;83.63;peg
2;71.18;peg
2;56.71;peg
2;67.31;peg
2;49.06;peg
2;60.16;peg
2;72.2;peg
2;68.19;peg
2;38.93;ext2.5
2;40.36;ext2.5
2;47.51;ext2.5
2;52.17;ext2.5
2;46.47;ext2.5
2;36.91;ext2.5
2;50.04;ext2.5
2;54.98;ext2.5
2;45.06;ext2.5
2;46.84;ext2.5
2;48.93;ext5.0
2;50.76;ext5.0
2;40.11;ext5.0
2;40.7;ext5.0
2;33.91;ext5.0
2;45.39;ext5.0
2;31.44;ext5.0
2;48.41;ext5.0
2;37.58;ext5.0
2;36.59;ext5.0
3;50.88;agua
3;61.27;agua
3;61.53;agua
3;43.02;agua
3;48.86;agua
3;50.64;agua
3;50.63;agua
3;60.5;agua
3;48.96;agua
3;58.21;agua
3;34.09;peg
3;40.87;peg
3;33.12;peg
3;30.97;peg
3;42.91;peg
3;11.7;peg
3;41.92;peg
3;21.71;peg
3;38.79;peg
3;35.46;peg
3;41.88;ext2.5
3;51.33;ext2.5
3;54.21;ext2.5
3;46.89;ext2.5
3;52.44;ext2.5
3;40.12;ext2.5
3;31.21;ext2.5
3;50.18;ext2.5
3;43.38;ext2.5
3;30.37;ext2.5
3;40.75;ext5.0
3;35.12;ext5.0
3;36.17;ext5.0
3;33.43;ext5.0
3;37.94;ext5.0
3;32.87;ext5.0
3;31.07;ext5.0
3;30.03;ext5.0
3;36.4;ext5.0
3;41.55;ext5.0
4;56.72;agua
4;53.01;agua
4;37.78;agua
4;43.04;agua
4;51.55;agua
4;30.96;agua
4;48.01;agua
4;44.98;agua
4;42.54;agua
4;65.95;agua
4;50.67;peg
4;72.44;peg
4;57.1;peg
4;52.54;peg
4;69.3;peg
4;52.68;peg
4;49.36;peg
4;45.78;peg
4;42.24;peg
4;52.11;peg
4;35.18;ext2.5
4;42.45;ext2.5
4;52.29;ext2.5
4;35.89;ext2.5
4;31.08;ext2.5
4;49.42;ext2.5
4;25.99;ext2.5
4;37.4;ext2.5
4;47.4;ext2.5
4;57.45;ext2.5
4;41.81;ext5.0
4;43.42;ext5.0
4;46.03;ext5.0
4;49.84;ext5.0
4;37.83;ext5.0
4;37.18;ext5.0
4;43.2;ext5.0
4;35.25;ext5.0
4;52.23;ext5.0
4;31.66;ext5.0
5;46.87;agua
5;51.05;agua
5;75.93;agua
5;68.09;agua
5;56.06;agua
5;43.5;agua
5;34.75;agua
5;66.32;agua
5;45.88;agua
5;60.6;agua
5;55.94;peg
5;47.29;peg
5;34.97;peg
5;50.55;peg
5;85.97;peg
5;59.56;peg
5;51.59;peg
5;62.82;peg
5;42.76;peg
5;55.04;peg
5;41.26;ext2.5
5;41.75;ext2.5
5;34.16;ext2.5
5;35.84;ext2.5
5;33.97;ext2.5
5;29.71;ext2.5
5;30.25;ext2.5
5;46.23;ext2.5
5;31.26;ext2.5
5;49.83;ext2.5
5;35.45;ext5.0
5;40.54;ext5.0
5;32.98;ext5.0
5;37.65;ext5.0
5;39.98;ext5.0
5;35.25;ext5.0
5;37.61;ext5.0
5;33.42;ext5.0
5;29.27;ext5.0
5;39.57;ext5.0
